"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","References","Publisher","Language of Original Document","Document Type","Source"
"Knapp R.H.","Knapp, R.H. (7201853326)","7201853326","Derivation of a new stiffness matrix for helically armoured cables considering tension and torsion","1979","International Journal for Numerical Methods in Engineering","227","10.1002/nme.1620140405","https://www.scopus.com/pages/publications/0018287823?origin=resultslist","Department of Mechanical Engineering, University of Hawaii, Honolulu, Hawaii, United States","Knapp R.H., Department of Mechanical Engineering, University of Hawaii, Honolulu, Hawaii, United States","A new element stiffness matrix is derived for straight cable elements subjected to tension and torsion. The cross‐section of a cable, which may consist of many different structural components, is treated in the following as a single composite element. The derivation is quite general; consequently, the results can be used for a broad category of cable configurations. Individual helical armourning wires, for instance, may have unique geometric and material properties. In addition, no limit is placed on the number of wire layers. Furthermore, compressibility of the central core element can also be considered. The equations of equilibrium are first derived to include ‘internal’ geometric non‐linearties produced by large deformations (axial elongation and rotatioin) of a straight cable element. These equations are then linearized in a consistent manner to give a liner stiffness matrix. Linear elasticity is assumed throughout. Excellent agreement with experimental results for two different cables validates the correctness of the analysis. Copyright © 1979 John Wiley & Sons, Ltd","","MATHEMATICAL TECHNIQUES - Finite Element Method; HELICALLY ARMOURED CABLES; STIFFNESS MATRIX; TORSION; WIRE ROPE","Hearle J.W.S., On the theory of the mechanics of twisted yarns, Journal of the Textile Institute, 60, pp. 95-101, (1969); Hruska F.H., Calculation of stresses in wire ropes, Wire and Wire Products, 26, pp. 766-767, (1951); Hruska F.H., Radial forces in wire ropes, Wire and Wire Products, 27, pp. 459-463, (1952); Hruska F.H., Tangential forces in wire rope, Wire and Wire Products, 28, pp. 455-460, (1953); Machida S.; Durelli A.J., (1972); Chi M., (1971); Chi M., (1971); Costello G.A.; Phillips J.W., Effective modulus of twisted wire cables, J. Engng. Mech. Div., ASCE, 102, pp. 171-181, (1976); Nowak G., pp. 293-305, (1974); Kirchhoff G.R., Über das Gleichgewicht und die Bewegung eines unendlich dünnen elastischen Stabes, J. für Mathematik, 56, pp. 285-313, (1959); Vanderveldt H.H.; De Young R., (1970); Knapp R.H., pp. 155-164, (1975); Mollmann H., Analysis of Hanging Roofs by Means of the Displacement Method, (1974); The Unknown Lenoardo, (1974); Castigliano A., (1873); Elastic Stresses in Structures Scott, (1919); Au T., Elementary Structural Mechanics, (1963); Coxeter H.S.M., Introductioin to Geometry, pp. 323-326, (1969); Love A.E.H., Treatise on the Mathematical Theory of Elasticity, pp. 381-398, (1944); Housner G.W.; Vreeland T., The Analysis of Stress and Deformation, (1996); Gibson P.T.; Minor J.C.; Cress H.A., (1972)","","English","Article","Scopus"
"Gutzer U.; Seemann W.; Hagedorn P.","Gutzer, Ulrich (7801661489); Seemann, Wolfgang (36830773800); Hagedorn, Peter (7005614441)","7801661489; 36830773800; 7005614441","Nonlinear structural damping described by the masing model and the method of slowly varying amplitude and phase","1995","Proceedings of the ASME Design Engineering Technical Conference","1","10.115/DETC-1995-0318","https://www.scopus.com/pages/publications/85103448404?origin=resultslist","Institut für Mechanik, Technische Hochschule Darmstadt, Darmstadt, Germany","Gutzer U., Institut für Mechanik, Technische Hochschule Darmstadt, Darmstadt, Germany; Seemann W., Institut für Mechanik, Technische Hochschule Darmstadt, Darmstadt, Germany; Hagedorn P., Institut für Mechanik, Technische Hochschule Darmstadt, Darmstadt, Germany","In this paper we investigate vibrations of discrete and continuous systems with damping of the MASING type. For free vibrations the method of the slowly varying amplitude and phase shows good agreement with numerical results, especially if the damping is small. The equations resulting from this method allow a faster identification of the parameters of a physical model. First, a single degree of freedom system is studied. Explicit formulae are obtained for the changing amplitude and frequency. The results are useful since damping laws of the type under consideration are well suited to describe the energy dissipation in a variety of real structures. In the second part we consider a one dimensional continuum with a distributed MASING model. An explicit formula is found for the dissipated energy per cycle and wavelength in standing waves. © 1995 American Society of Mechanical Engineers (ASME). All rights reserved.","","Damping; Degrees of freedom (mechanics); Energy dissipation; Numerical methods; One dimensional; Time varying systems; Continuous system; Dissipated energy; Explicit formula; Identification of the parameters; Numerical results; Single degree of freedom systems; Slowly varying amplitudes; Structural damping; Vibrations (mechanical)","Bogoljubow N.N; Mitropolski J.A., Asymptotische Methoden in der Theorie der nichtlinearen Schwingungen, (1965); Hagedorn Peter, Nonlinear Vibrations, (1988); Hagedorn Peter, Technische Schwingungslehre, Band 11, (1989); Kolsch Holger, Schwingungsdampfung durch statische Hysterese, (1993); Masing G., Zur Heynschen Theorie der Verfestigung der Metalle durch verborgene elastische Spannungen, Wissenschaftliche Veroffentlichungen aus dem Siemens-Konzern, 3, (1923)","American Society of Mechanical Engineers (ASME)","English","Conference paper","Scopus"
"Gatti-Bono C.; Perkins N.C.","Gatti-Bono, Caroline (6602615110); Perkins, N.C. (7103031956)","6602615110; 7103031956","Numerical Simulations of Cable/Seabed Interaction","2003","Proceedings of the International Offshore and Polar Engineering Conference","8","","https://www.scopus.com/pages/publications/0942288341?origin=resultslist","Lawrence Berkeley Natl. Laboratory, Berkeley, CA, United States; Mechanical Engineering, University of Michigan, Ann Arbor, MI, United States","Gatti-Bono C., Lawrence Berkeley Natl. Laboratory, Berkeley, CA, United States; Perkins N.C., Mechanical Engineering, University of Michigan, Ann Arbor, MI, United States","This paper contributes a method to model the interactions of low-tension cables with the seabed. The cable is modeled as an elastica, and can support tension, torsion and two-axis bending. It is subjected to hydrodynamic forces as well as self-weight, buoyancy, and seabed contact. The seabed is modeled as an elastic foundation with linear damping and prescribed topology. A numerical algorithm is briefly described and then used to simulate cable laying. Several examples are studied including a cable towed in deep water, dropped on an uneven seabed, and finally, towed across an uneven seabed.","Cable Dynamics; Cable Laying; Elastica; Seabed Modeling; Towed Cable","Acceleration; Algorithms; Boundary value problems; Buoyancy; Computer simulation; Elastic moduli; Equations of motion; Finite element method; Hydrodynamics; Offshore pipelines; Stiffness; Telecommunication cables; Topology; Torsional stress; Vectors; Cable dynamics; Towed cables; Petroleum engineering","Ablow C.M.; Schechter S., Numerical simulation of undersea cable dynamics, Ocean Engineering, 10, 6, pp. 443-457, (1983); Burgess J.J., Equations of motion of submerged cable with bending stiffness, OMAE, I-A, pp. 283-289, (1992); Burgess J.J., Bending stiffness in a simulation of undersea cable deployment, International Journal of Offshore and Polar Engineering, 3, 3, pp. 197-204, (1993); Gatti-Bono C.; Perkins N.C., Physical and numerical modeling of the dynamic behavior of a fly line, Journal of Sound and Vibration, 255, 3, pp. 555-577, (2002); Gatti-Bono C.; Perkins N.C., Dynamic Analysis of Loop Formation in Cables under Compression, International Journal of Offshore and Polar Engineering, 12, 3, pp. 217-222, (2002); Gatti C., Numerical Simulations of Large Deformation Cable Dynamics, (2002); Gobat J.I.; Grosenbaugh M.A., Dynamics in the touchdown region of catenary mooring, International Journal of Offshore and Polar Engineering, 11, 4, pp. 273-281, (2001); Howell C.T., Numerical analysis of 2-D nonlinear cable equations with applications to low-tension problems, International Journal of Offshore and Polar Engineering, 2, 2, pp. 110-113, (1992); Jacob B.P.; Ebecken F.F.; Gomes M.G., Numerical simulations of the ""pull-in"" operation in submarine pipelines, Engineering Structures, 19, 10, pp. 868-876, (1997); Jeng D.S.; Lin Y.S., Reponse of inhomogeneous seabed around buried pipeline under ocean waves, Journal of Engineering Mechanics, pp. 321-332, (2000); Karnoski S.R., Summary of Closed-form Cable Deployment Equations, (1991); Milinazzo F.; Wilkie M.; Latchman S.A., An efficient algorithm for simulating the dynamics of towed cable systems, Ocean Engineering, 14, 6, pp. 513-526, (1987); Rao S.S., Mechanical Vibrations, (1986); Sun Y., Nonlinear Response of Cable/Lumped-body System by Direct Integration Method with Suppression, (1992); Sun Y.; Leonard J.W.; Chiou R.B., Simulation of unsteady oceanic cable deployment by direct integration with suppression, Ocean Engineering, 21, 3, pp. 243-256, (1994); Sun Y., Modeling and Simulation of Law-tension Oceanic Cable/Body Deployment, (1996); Triantafyllou M.S.; Triantafyllou G.S., The paradox of the hanging string: An explanation using singular perturbations, Journal of Sound and Vibration, 148, 2, pp. 343-351, (1991); Triantafyllou M.S.; Howell C.T., Dynamic response of cables under negative tension: An ill-posed problem, Journal of Sound and Vibration, 173, 4, pp. 443-447, (1994); Webster W.C., Mooring-induced damping, Ocean Engineering, 22, 6, pp. 571-591, (1995)","","English","Conference paper","Scopus"
"Sauter D.; Hagedorn P.","Sauter, D. (15749587800); Hagedorn, P. (7005614441)","15749587800; 7005614441","On the hysteresis of wire cables in Stockbridge dampers","2002","International Journal of Non-Linear Mechanics","67","10.1016/S0020-7462(02)00028-8","https://www.scopus.com/pages/publications/0036885419?origin=resultslist","Department of Applied Mechanics, Darmstadt University of Technology, 64289 Darmstadt, Hochschulstrasse 1, Germany","Sauter D., Department of Applied Mechanics, Darmstadt University of Technology, 64289 Darmstadt, Hochschulstrasse 1, Germany; Hagedorn P., Department of Applied Mechanics, Darmstadt University of Technology, 64289 Darmstadt, Hochschulstrasse 1, Germany","Stockbridge dampers are used e.g. for reducing wind-excited oscillations due to vortex shedding in conductors of overhead lines. In these dampers, mechanical energy is dissipated in wire cables (""damper cables""). The damping mechanism is due to statical hysteresis resulting from Coulomb (dry) friction between the individual wires of the cable undergoing bending deformation. Systems with statical hysteresis can be modelled by means of Jenkin elements arranged in parallel, consisting of linear springs and Coulomb friction elements. The damper cable is a continuous system and damping takes place throughout the whole length of the cable, so that distributed Jenkin elements are used. The local mechanical properties of the wire cable are identified experimentally in the time domain. In particular, the moment-curvature relation is determined experimentally at every location of the wire cable subjected to dynamic flexural deformations. Using such a model for the damper cables, the equations of motion can be formulated for a Stockbridge damper, and discretization of the damper cable leads to a system of non-linear ordinary differential equations. In order to test this dynamical model of a Stockbridge damper we compute impedance curves and compare them to experimental results. © 2002 Elsevier Science Ltd. All rights reserved.","Cable hysteresis; Internal damping in cables; Stockbridge damper","Bending strength; Damping; Deformation; Energy dissipation; Equations of motion; Friction; Hysteresis; Mathematical models; Ordinary differential equations; Springs (components); Time domain analysis; Cable hysteresis; Dynamic flexural deformations; Nonlinear systems","Gutzer U., Dynamische Identifikation Statischer Hysterese am Beispiel eines Leiterseils, (1998); Markiewicz M., Optimum dynamic characteristics of Stockbridge dampers for dead-end spans, J. Sound Vibration, 188, pp. 243-256, (1995); Hardy C.; Leblond A., On the estimation of a 2 × 2 complex stiffness matrix of symmetric stockbridge-type dampers, Proceeding of the Third International Symposium on Cable Dynamics, (1999); Hooker R.J.; Dulhunty P.W., Influence of asymmetry on stockbridge damper performance, Proceedings of the International Symposium on Cable Dynamics, pp. 373-383, (1995); Kolsch H., Schwingungsdämpfung durch statische hysterese (= vibration damping by static hysteresis), (1993); Masing G., Zur heynschen theorie der verfestigung der metalle durch verborgene elastische spannungen, Wissenschaftliche Veröffentlichungen aus dem Siemens-Konzern, 3, (1923); Gutzer U.; Seemann W.; Hagedorn P., Non-linear structural damping described by the MASING model and the method of slowly varying amplitude and phase, Proceedings (3A) of the 15th Biennial Conference on Vibration and Noise, pp. 773-779, (1995); Plagge F.; Ottl D., Inelastisches verhalten von spiralseilen unter biegung, Forschung im Ingenieurwesen, 63, pp. 281-284, (1997)","","English","Article","Scopus"
